,Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,Missed Count
0,25270,11/01/17,Trash - Backdoor,"house with the wheel chair ramp, they share driveway, in back driveway. 3817 Crouch Dr near NES light post is. 
615-876-6274",3817 Crouch Dr,37207.0,RED RIVER,3205,2.0,1727970.41206786,686779.478088711,False
1,25274,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/Trash miss Tuesday.,4028 Clarksville Pike,37218.0,RED RIVER,4202,1.0,1721259.36568104,685444.799565154,True
2,25276,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/trash miss Tuesday.,6528 Thunderbird Dr,37209.0,RED RIVER,4205,20.0,1707026.75348931,659887.471571312,True
3,25307,11/01/17,Trash - Curbside/Alley Missed Pickup,missed,2603 old matthews rd,37207.0,WASTE IND,2206,2.0,1735691.77097349,685027.245922773,True
4,25312,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed the even side of the road.,604 croley dr,37209.0,RED RIVER,4203,20.0,1710185.77229504,664205.101065545,True
5,25317,11/01/17,Trash Collection Complaint,left trash cart in middle of driveway instead of at the backdoor pickup spot,3602 floral dr,37211.0,RED RIVER,4304,16.0,1751660.16380723,643215.201072899,False
6,25325,11/01/17,Damage to Property,"Trash/emptied Wednesday & now metal black-mailbox damage. 
customer wants call back and fix and replace.",4721 Chalmers Dr,37215.0,RED RIVER,3303,34.0,1726300.96525064,637078.402244506,False
7,25327,11/01/17,Trash Collection Complaint,"Trash out on time, miss again Tuesday. ALLEY",1816 Jo Johnston Ave,37203.0,METRO,9208,21.0,1731459.36691767,666013.601228506,True
8,25330,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,4484 Lavergne Couchville Pike,37013.0,RED RIVER,4210,33.0,1794533.51380932,618749.342732322,True
9,25331,11/01/17,Trash - Curbside/Alley Missed Pickup,"Trash missed Tuesday again, ALLEY",1206 Ireland St,37208.0,METRO,9208,19.0,1733029.47415848,668762.640891357,True
10,25341,11/01/17,Trash - Curbside/Alley Missed Pickup,"Missed trash pickup - resident has at curb for pick up today 
received back door form on 10/30/2017 is still in interoffice mail pickup since 10/30",3113 HYDES FERRY RD,37218.0,RED RIVER,4204,2.0,1721577.76771205,676018.399899977,True
11,25350,11/01/17,Trash Collection Complaint,Missed- 4th week in a row.,3210 Whites Creek Pike,37207.0,RED RIVER,3201,3.0,1726432.96620837,691919.200296047,True
12,25359,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed. Does not have access to alley.,830 Meridian St,37207.0,METRO,9207,5.0,1741744.71198552,675328.666056683,True
13,25366,11/01/17,Trash Collection Complaint,"trash truck took cart 
3 guys on truck did not have truck number 
please call (615) 569-4994",2200 osage st,37208.0,METRO,9201,21.0,1728644.75713234,672074.099109828,False
14,25370,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,6543 Thunderbird Dr,37209.0,RED RIVER,4205,20.0,1706941.58394937,659614.183556474,True
15,25371,11/01/17,Trash - Curbside/Alley Missed Pickup,Pickup missed,2218 BUENA VISTA PIKE,37218.0,RED RIVER,4204,2.0,1724505.76628625,679777.599715987,True
16,25393,11/01/17,Trash Collection Complaint,trash carts all tossed in road after pick up,2720 riverbend dr,37214.0,RED RIVER,1501,15.0,1762455.9236539,693225.665703145,False
17,25407,11/01/17,Trash Collection Complaint,Curb/Trash miss everyone already gotten pick up. UNIT-B,4209 Lone Oak Rd,37215.0,RED RIVER,3305,25.0,1729355.43814804,644389.920698521,True
18,25449,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/trash miss for this address and others. Tuesday,356 Kingview Dr,37218.0,RED RIVER,3204,1.0,1722025.95847515,685779.071232628,True
