Description,count
miss,899
Missed.,602
missed,335
1 cart,325
cart still out,314
MISSED,178
missed pick up,171
Missed- trash,142
Missed trash,138
backdoor miss,128
still out,124
Missed,120
missed pickup,118
cust says missed,104
BACKDOOR MISS,86
missed the street,79
missed again,78
cust says missed pickup,68
this street missed,58
MISSED ENTIRE STREET,52
entire street missed,51
get,49
MISSED...,46
missed trash,44
everyone missed,43
ENTIRE STREET MISSED,42
missed pick up - others missed in area,40
this area missed,39
cust says the street was missed,38
MISSED...ENTIRE STREET MISSED,37
several missed,36
MISSED...NEIGHBORS MISSED,34
the entire street was missed,34
entire street was missed,32
CART STILL OUT,32
missed for 2 weeks,32
Missed pickup,32
Missed Trash Pickup on 8/23/2019!,32
,31
Missed backdoor trash,27
missed backdoor pickup,27
street missed,24
Missed pick up,24
missed trash pickup,23
missed 2 weeks in a row,23
Missed trash- whole street missed,21
missed- trash,20
missed...,20
Trash was not picked up,19
missed trash pick up,19
Missed backdoor,19
Trash not picked up,19
Missed entire street,17
only got one side of street,17
Missed backdoor pickup,16
whole street missed,16
trash missed,15
missed the whole street,15
Missed-trash,15
missed the entire street,15
others missed in area,15
paid service,14
Missed again,14
Missed again.,14
carts still out,14
cust says the entire street was missed,13
missed backdoor pick up,13
MISSED....,13
the street was missed,13
Missed entire street.,12
Trash was not picked up.,12
MISSED.,12
missed others,12
missed everyone,12
missed back door pick up,12
trash,12
this alley missed,11
MISSED...NEIGHBOR MISSED,11
MISSED THIS ENTIRE SIDE OF STREET,11
missed whole street,11
entire street,11
MISSED AGAIN,10
Missed trash pickup,10
this side of street missed,10
Missed- Trash,10
MISSED THE ENTIRE STREET,10
ENTIRE STREET MISSED.,10
missed....,9
this side missed,9
Entire street missed,9
missed entire street,9
street was missed,8
alley missed,8
MISSED THIS ENTIRE SIDE OF STREET.,8
MISSED ENTIRE ROUTE,8
missed street,8
cust says trash was missed,8
2 carts,8
missed.,8
MISSED...OTHERS ON STREET MISSED.,8
several on street missed,8
Missed trash.,8
backdoor miss again,8
backdoor missed pick up,8
MISS,7
everyone was missed,7
MISSED PICK UP,7
Missed entire area.,7
MISSED ENTIRE STREET.,7
Trash- Missed,7
Curb trash/missed Wednesday.,7
STILL OUT,7
The entire street was missed,7
1 cart. The entire street was missed,7
cart missed for 2 weeks,7
Backdoor miss,7
Trash missed,7
neighborhood missed,7
MISSED...ENTIRE STREET MISSED.,7
cust says missed again,7
Missed...,7
Backdoor/Trash miss,6
cust says the neighborhood was missed,6
